ISIN,0,1
IE00BKWQ0L68,Index,MSCI Europe Materials 20/35 Capped
IE00BKWQ0L68,Investment focus,"Equity, Europe, Basic Materials"
IE00BKWQ0L68,Fund size,EUR 278 m
IE00BKWQ0L68,Total expense ratio,0.18% p.a.
IE00BKWQ0L68,Replication,Physical (Full replication)
IE00BKWQ0L68,Legal structure,ETF
IE00BKWQ0L68,Strategy risk,Long-only
IE00BKWQ0L68,Sustainability,No
IE00BKWQ0L68,Fund currency,EUR
IE00BKWQ0L68,Currency risk,Currency unhedged
IE00BKWQ0L68,Volatility 1 year (in EUR),17.62%
IE00BKWQ0L68,Inception/ Listing Date,5 December 2014
IE00BKWQ0L68,Distribution policy,Accumulating
IE00BKWQ0L68,Distribution frequency,-
IE00BKWQ0L68,Fund domicile,Ireland
IE00BKWQ0L68,Fund Provider,SPDR ETF
DE000A0F5UK5,Index,STOXX® Europe 600 Basic Resources
DE000A0F5UK5,Investment focus,"Equity, Europe, Basic Materials"
DE000A0F5UK5,Fund size,EUR 233 m
DE000A0F5UK5,Total expense ratio,0.46% p.a.
DE000A0F5UK5,Replication,Physical (Full replication)
DE000A0F5UK5,Legal structure,ETF
DE000A0F5UK5,Strategy risk,Long-only
DE000A0F5UK5,Sustainability,No
DE000A0F5UK5,Fund currency,EUR
DE000A0F5UK5,Currency risk,Currency unhedged
DE000A0F5UK5,Volatility 1 year (in EUR),25.06%
DE000A0F5UK5,Inception/ Listing Date,8 July 2002
DE000A0F5UK5,Distribution policy,Distributing
DE000A0F5UK5,Distribution frequency,At least annually
DE000A0F5UK5,Fund domicile,Germany
DE000A0F5UK5,Fund Provider,iShares
LU0292100806,Index,MSCI Europe Materials Screened 20-35
LU0292100806,Investment focus,"Equity, Europe, Basic Materials, Social/Environmental"
LU0292100806,Fund size,EUR 40 m
LU0292100806,Total expense ratio,0.17% p.a.
LU0292100806,Replication,Physical (Full replication)
LU0292100806,Legal structure,ETF
LU0292100806,Strategy risk,Long-only
LU0292100806,Sustainability,Yes
LU0292100806,Fund currency,EUR
LU0292100806,Currency risk,Currency unhedged
LU0292100806,Volatility 1 year (in EUR),15.60%
