Date,Price,Open,High,Low,Vol.,Change %,ISIN
08/01/2025,30.68,28.61,31.02,27.77,5.17M,5.98%,DE000A0F5UJ7
07/01/2025,28.95,27.85,29.25,27.05,6.40M,3.95%,DE000A0F5UJ7
06/01/2025,27.85,27.9,28.33,26.85,2.16M,-0.43%,DE000A0F5UJ7
05/01/2025,27.97,25.89,28.35,25.6,2.59M,9.71%,DE000A0F5UJ7
04/01/2025,25.5,25.92,26.13,20.4,14.60M,-0.72%,DE000A0F5UJ7
03/01/2025,25.68,25.82,27.06,24.84,5.92M,-0.37%,DE000A0F5UJ7
02/01/2025,25.77,22.42,25.77,22.2,5.80M,12.92%,DE000A0F5UJ7
01/01/2025,22.83,21.06,22.96,20.5,1.47M,9.29%,DE000A0F5UJ7
12/01/2024,20.89,19.99,21.22,19.98,1.45M,3.88%,DE000A0F5UJ7
11/01/2024,20.1,20.15,20.86,19.7,6.23M,0.12%,DE000A0F5UJ7
10/01/2024,20.08,20.07,20.45,19.32,1.95M,0.37%,DE000A0F5UJ7
09/01/2024,20.0,19.89,20.32,19.05,1.76M,0.74%,DE000A0F5UJ7
08/01/2024,19.86,20.0,20.0,17.57,1.14M,-1.38%,DE000A0F5UJ7
07/01/2024,20.14,20.32,20.67,19.48,1.33M,1.17%,DE000A0F5UJ7
06/01/2024,19.9,21.01,21.03,19.26,59.92K,-4.32%,DE000A0F5UJ7
05/01/2024,20.8,20.01,20.89,19.76,1.23M,5.36%,DE000A0F5UJ7
04/01/2024,19.74,19.0,20.03,18.55,1.85M,3.96%,DE000A0F5UJ7
03/01/2024,18.99,17.16,19.04,17.16,83.00K,11.16%,DE000A0F5UJ7
02/01/2024,17.08,16.48,17.17,16.22,1.20M,2.14%,DE000A0F5UJ7
01/01/2024,16.73,16.73,17.11,15.88,1.73M,0.40%,DE000A0F5UJ7
12/01/2023,16.66,16.11,16.72,16.11,1.67M,3.63%,DE000A0F5UJ7
11/01/2023,16.08,15.08,16.14,14.95,2.07M,7.49%,DE000A0F5UJ7
10/01/2023,14.96,15.99,16.15,14.65,1.90M,-6.20%,DE000A0F5UJ7
09/01/2023,15.94,15.58,16.07,14.93,2.52M,2.61%,DE000A0F5UJ7
08/01/2023,15.54,16.16,16.2,15.27,1.52M,-3.54%,DE000A0F5UJ7
07/01/2023,16.11,15.88,16.21,15.4,1.70M,1.85%,DE000A0F5UJ7
06/01/2023,15.82,14.83,15.92,14.83,2.96M,7.23%,DE000A0F5UJ7
05/01/2023,14.75,15.11,15.47,14.4,2.24M,-1.26%,DE000A0F5UJ7
04/01/2023,14.94,14.51,15.59,14.43,4.71M,3.12%,DE000A0F5UJ7
03/01/2023,14.49,16.59,16.66,13.0,16.74M,-12.77%,DE000A0F5UJ7
02/01/2023,16.61,15.69,16.75,15.46,3.35M,6.15%,DE000A0F5UJ7
01/01/2023,15.64,13.94,15.67,13.94,4.04M,13.00%,DE000A0F5UJ7
12/01/2022,13.84,13.85,13.99,13.28,2.57M,0.22%,DE000A0F5UJ7
11/01/2022,13.81,12.74,13.87,12.64,3.55M,9.46%,DE000A0F5UJ7
10/01/2022,12.62,11.6,12.69,11.4,2.88M,7.37%,DE000A0F5UJ7
09/01/2022,11.75,12.27,13.25,11.44,5.69M,-4.59%,DE000A0F5UJ7
08/01/2022,12.32,12.59,13.27,12.04,2.58M,-1.03%,DE000A0F5UJ7
07/01/2022,12.45,12.67,12.93,11.45,5.11M,-2.60%,DE000A0F5UJ7
06/01/2022,12.78,14.3,14.34,12.64,5.18M,-9.81%,DE000A0F5UJ7
