ISIN,0,1,logo_url
IE00BKWQ0L68,Air Liquide SA,18.07%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/AIR_LIQUIDE_2017.svg/400px-AIR_LIQUIDE_2017.svg.png
IE00BKWQ0L68,Rio Tinto Plc,9.98%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Rio_Tinto%2C_Spain_%28ASTER%29.jpg/120px-Rio_Tinto%2C_Spain_%28ASTER%29.jpg
IE00BKWQ0L68,Givaudan SA,6.77%,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/OJ_L_328_of_2016_-_PT_Portuguese.pdf/page1-150px-OJ_L_328_of_2016_-_PT_Portuguese.pdf.jpg
IE00BKWQ0L68,BASF SE,6.66%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/BASF-Logo_bw.svg/250px-BASF-Logo_bw.svg.png
IE00BKWQ0L68,Sika AG,6.27%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Logo_Sika_AG.svg/120px-Logo_Sika_AG.svg.png
IE00BKWQ0L68,Glencore Plc,6.06%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/OJ_C_72_of_2020_-_NL_Dutch.pdf/page1-150px-OJ_C_72_of_2020_-_NL_Dutch.pdf.jpg
IE00BKWQ0L68,Holcim Ltd.,5.87%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/OJ_C_387_of_2014_-_EN_English.pdf/page1-150px-OJ_C_387_of_2014_-_EN_English.pdf.jpg
IE00BKWQ0L68,Anglo American Plc,5.00%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/AngloAmerican%C3%9Cbersicht.png/120px-AngloAmerican%C3%9Cbersicht.png
IE00BKWQ0L68,Heidelberg Materials AG,4.77%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/HeidelbergCement_2022_logo.svg/330px-HeidelbergCement_2022_logo.svg.png
IE00BKWQ0L68,Novonesis (Novozymes A/S),3.82%,https://di9mr54a05a64.cloudfront.net/api-dlgservice.expoplatform.com/image/160x0/MTcxOTIzNDIxNDY2Nzk2ZWE2OTdjM2U=.png
DE000A0F5UK5,Rio Tinto Plc,26.59%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Rio_Tinto%2C_Spain_%28ASTER%29.jpg/120px-Rio_Tinto%2C_Spain_%28ASTER%29.jpg
DE000A0F5UK5,Glencore Plc,14.75%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/OJ_C_72_of_2020_-_NL_Dutch.pdf/page1-150px-OJ_C_72_of_2020_-_NL_Dutch.pdf.jpg
DE000A0F5UK5,Anglo American Plc,13.75%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/AngloAmerican%C3%9Cbersicht.png/120px-AngloAmerican%C3%9Cbersicht.png
DE000A0F5UK5,UPM-Kymmene Oyj,6.11%,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/EUD_2007-686.pdf/page1-150px-EUD_2007-686.pdf.jpg
DE000A0F5UK5,ArcelorMittal SA,5.68%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/%D0%90%D1%80%D0%BC%D0%B0%D1%82%D1%83%D1%80%D0%BD%D1%8B%D0%B9_%D0%BF%D1%80%D0%BE%D0%BA%D0%B0%D1%82.jpg/250px-%D0%90%D1%80%D0%BC%D0%B0%D1%82%D1%83%D1%80%D0%BD%D1%8B%D0%B9_%D0%BF%D1%80%D0%BE%D0%BA%D0%B0%D1%82.jpg
DE000A0F5UK5,Antofagasta Plc,4.09%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Antofagasta_logo.svg/400px-Antofagasta_logo.svg.png
DE000A0F5UK5,Boliden AB,3.75%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Boliden.svg/400px-Boliden.svg.png
DE000A0F5UK5,SKF AB,3.27%,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/OJ_C_238_of_2014_-_PT_Portuguese.pdf/page1-150px-OJ_C_238_of_2014_-_PT_Portuguese.pdf.jpg
DE000A0F5UK5,Norsk Hydro ASA,3.20%,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/OJ_C_247_of_2017_-_IT_Italian.pdf/page1-150px-OJ_C_247_of_2017_-_IT_Italian.pdf.jpg
DE000A0F5UK5,Svenska Cellulosa,3.03%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Svenska_Cellulosa_Aktiebolaget_logo.svg/120px-Svenska_Cellulosa_Aktiebolaget_logo.svg.png
LU0292100806,Air Liquide SA,23.84%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/AIR_LIQUIDE_2017.svg/400px-AIR_LIQUIDE_2017.svg.png
LU0292100806,Givaudan SA,9.09%,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/OJ_L_328_of_2016_-_PT_Portuguese.pdf/page1-150px-OJ_L_328_of_2016_-_PT_Portuguese.pdf.jpg
LU0292100806,Holcim Ltd.,8.57%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/OJ_C_387_of_2014_-_EN_English.pdf/page1-150px-OJ_C_387_of_2014_-_EN_English.pdf.jpg
LU0292100806,Sika AG,7.93%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Logo_Sika_AG.svg/120px-Logo_Sika_AG.svg.png
LU0292100806,Anglo American Plc,7.13%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/AngloAmerican%C3%9Cbersicht.png/120px-AngloAmerican%C3%9Cbersicht.png
LU0292100806,Heidelberg Materials AG,6.36%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/HeidelbergCement_2022_logo.svg/330px-HeidelbergCement_2022_logo.svg.png
LU0292100806,Novonesis (Novozymes A/S),5.04%,https://di9mr54a05a64.cloudfront.net/api-dlgservice.expoplatform.com/image/160x0/MTcxOTIzNDIxNDY2Nzk2ZWE2OTdjM2U=.png
LU0292100806,DSM-Firmenich AG,3.96%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/DSM-Firmenich_Logo_2023.svg/500px-DSM-Firmenich_Logo_2023.svg.png
LU0292100806,UPM-Kymmene Oyj,2.99%,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/EUD_2007-686.pdf/page1-150px-EUD_2007-686.pdf.jpg
LU0292100806,Symrise AG,2.84%,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Symrise_wordmark_logo.svg/330px-Symrise_wordmark_logo.svg.png
IE00BKWQ0F09,Shell Plc,33.98%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/OJ_C_165_of_2015_-_ET_Estonian.pdf/page1-150px-OJ_C_165_of_2015_-_ET_Estonian.pdf.jpg
IE00BKWQ0F09,BP Plc,18.49%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/OJ_C_61_of_2014_-_HU_Hungarian.pdf/page1-150px-OJ_C_61_of_2014_-_HU_Hungarian.pdf.jpg
