ISIN,0,1
IE00BKWQ0L68,Air Liquide SA,18.07%
IE00BKWQ0L68,Rio Tinto Plc,9.98%
IE00BKWQ0L68,Givaudan SA,6.77%
IE00BKWQ0L68,BASF SE,6.66%
IE00BKWQ0L68,Sika AG,6.27%
IE00BKWQ0L68,Glencore Plc,6.06%
IE00BKWQ0L68,Holcim Ltd.,5.87%
IE00BKWQ0L68,Anglo American Plc,5.00%
IE00BKWQ0L68,Heidelberg Materials AG,4.77%
IE00BKWQ0L68,Novonesis (Novozymes A/S),3.82%
DE000A0F5UK5,Rio Tinto Plc,26.59%
DE000A0F5UK5,Glencore Plc,14.75%
DE000A0F5UK5,Anglo American Plc,13.75%
DE000A0F5UK5,UPM-Kymmene Oyj,6.11%
DE000A0F5UK5,ArcelorMittal SA,5.68%
DE000A0F5UK5,Antofagasta Plc,4.09%
DE000A0F5UK5,Boliden AB,3.75%
DE000A0F5UK5,SKF AB,3.27%
DE000A0F5UK5,Norsk Hydro ASA,3.20%
DE000A0F5UK5,Svenska Cellulosa,3.03%
LU0292100806,Air Liquide SA,23.84%
LU0292100806,Givaudan SA,9.09%
LU0292100806,Holcim Ltd.,8.57%
LU0292100806,Sika AG,7.93%
LU0292100806,Anglo American Plc,7.13%
LU0292100806,Heidelberg Materials AG,6.36%
LU0292100806,Novonesis (Novozymes A/S),5.04%
LU0292100806,DSM-Firmenich AG,3.96%
LU0292100806,UPM-Kymmene Oyj,2.99%
LU0292100806,Symrise AG,2.84%
IE00BKWQ0F09,Shell Plc,33.98%
IE00BKWQ0F09,BP Plc,18.49%
IE00BKWQ0F09,TotalEnergies SE,18.47%
IE00BKWQ0F09,Eni SpA,9.35%
IE00BKWQ0F09,Equinor ASA,5.55%
IE00BKWQ0F09,Repsol SA,4.44%
IE00BKWQ0F09,Aker BP ASA,2.12%
IE00BKWQ0F09,OMV AG,2.10%
IE00BKWQ0F09,Tenaris SA,2.01%
IE00BKWQ0F09,Galp Energia SGPS,2.00%
DE000A0H08M3,Shell Plc,29.20%
DE000A0H08M3,TotalEnergies SE,14.31%
DE000A0H08M3,BP Plc,13.29%
DE000A0H08M3,Siemens Energy AG,12.57%
DE000A0H08M3,Eni SpA,5.57%
DE000A0H08M3,Equinor ASA,3.74%
DE000A0H08M3,Repsol SA,2.72%
DE000A0H08M3,Vestas Wind Systems A/S,2.43%
DE000A0H08M3,ORLEN,2.13%
DE000A0H08M3,SNAM SpA,2.00%
LU1834988278,BP Plc,28.95%
LU1834988278,Siemens Energy AG,16.19%
