Date,Price,Open,High,Low,Vol.,Change %,ISIN
08/08/2025,29.93,29.5,29.94,29.5,296.19K,1.35%,DE000A0F5UJ7
08/07/2025,29.53,29.29,29.53,29.23,228.29K,1.63%,DE000A0F5UJ7
08/06/2025,29.06,28.85,29.07,28.8,169.24K,1.15%,DE000A0F5UJ7
08/05/2025,28.73,28.92,28.96,28.66,96.19K,-0.33%,DE000A0F5UJ7
08/04/2025,28.83,28.38,28.83,28.38,132.94K,2.62%,DE000A0F5UJ7
08/01/2025,28.09,28.61,28.75,27.77,152.15K,-2.97%,DE000A0F5UJ7
07/31/2025,28.95,29.11,29.25,28.88,123.88K,0.23%,DE000A0F5UJ7
07/30/2025,28.89,28.46,28.89,28.44,293.70K,0.47%,DE000A0F5UJ7
07/29/2025,28.75,28.42,28.84,28.39,218.45K,1.63%,DE000A0F5UJ7
07/28/2025,28.29,28.56,28.58,28.22,213.95K,0.07%,DE000A0F5UJ7
07/25/2025,28.27,28.17,28.35,28.1,118.45K,-0.05%,DE000A0F5UJ7
07/24/2025,28.28,28.21,28.35,28.18,198.64K,1.60%,DE000A0F5UJ7
07/23/2025,27.84,27.72,27.9,27.6,376.47K,1.38%,DE000A0F5UJ7
07/22/2025,27.46,27.49,27.57,27.25,119.43K,-0.40%,DE000A0F5UJ7
07/21/2025,27.57,27.44,27.57,27.25,73.86K,0.33%,DE000A0F5UJ7
07/18/2025,27.48,27.48,27.51,27.34,436.38K,0.11%,DE000A0F5UJ7
07/17/2025,27.45,27.32,27.45,27.22,438.55K,1.33%,DE000A0F5UJ7
07/16/2025,27.09,27.2,27.4,27.05,512.04K,-0.42%,DE000A0F5UJ7
07/15/2025,27.2,27.59,27.59,27.14,438.22K,-3.95%,DE000A0F5UJ7
07/14/2025,28.33,28.0,28.34,27.89,486.01K,0.53%,DE000A0F5UJ7
07/11/2025,28.17,28.59,28.61,27.99,358.96K,-1.86%,DE000A0F5UJ7
07/10/2025,28.71,28.92,28.94,28.7,221.16K,-0.66%,DE000A0F5UJ7
07/09/2025,28.9,28.53,28.9,28.52,191.88K,1.89%,DE000A0F5UJ7
07/08/2025,28.36,28.2,28.41,28.18,99.02K,0.67%,DE000A0F5UJ7
07/07/2025,28.17,27.85,28.17,27.84,90.04K,1.49%,DE000A0F5UJ7
07/04/2025,27.76,28.04,28.04,27.65,327.76K,-1.14%,DE000A0F5UJ7
07/03/2025,28.08,27.75,28.08,27.65,416.25K,1.35%,DE000A0F5UJ7
07/02/2025,27.7,27.84,28.02,27.49,280.92K,0.75%,DE000A0F5UJ7
07/01/2025,27.5,27.85,27.85,27.45,368.69K,-1.26%,DE000A0F5UJ7
06/30/2025,27.85,27.94,27.95,27.55,402.68K,-0.32%,DE000A0F5UJ7
06/27/2025,27.94,27.67,27.94,27.62,69.02K,1.62%,DE000A0F5UJ7
06/26/2025,27.5,27.69,27.71,27.44,75.84K,-0.20%,DE000A0F5UJ7
06/25/2025,27.55,27.8,27.81,27.45,57.69K,-0.90%,DE000A0F5UJ7
06/24/2025,27.8,27.66,27.83,27.5,128.74K,3.12%,DE000A0F5UJ7
06/23/2025,26.96,27.13,27.3,26.85,47.44K,-1.25%,DE000A0F5UJ7
06/20/2025,27.3,27.32,27.6,27.3,49.20K,0.68%,DE000A0F5UJ7
06/19/2025,27.11,27.45,27.53,27.11,115.21K,-1.72%,DE000A0F5UJ7
06/18/2025,27.59,27.48,27.67,27.36,27.71K,0.64%,DE000A0F5UJ7
06/17/2025,27.42,27.75,27.75,27.35,51.57K,-1.95%,DE000A0F5UJ7
06/16/2025,27.96,27.66,27.99,27.66,33.19K,1.91%,DE000A0F5UJ7
06/13/2025,27.43,27.26,27.5,27.24,51.98K,-1.28%,DE000A0F5UJ7
06/12/2025,27.79,27.58,27.9,27.42,65.57K,-0.07%,DE000A0F5UJ7
06/11/2025,27.81,27.94,27.97,27.67,156.24K,0.16%,DE000A0F5UJ7
06/10/2025,27.76,28.21,28.23,27.76,148.93K,-1.93%,DE000A0F5UJ7
06/09/2025,28.31,28.31,28.33,28.13,74.98K,0.16%,DE000A0F5UJ7
06/06/2025,28.26,28.06,28.31,27.94,38.87K,0.71%,DE000A0F5UJ7
06/05/2025,28.07,27.86,28.07,27.69,197.13K,0.84%,DE000A0F5UJ7
06/04/2025,27.83,28.09,28.18,27.72,202.03K,-0.54%,DE000A0F5UJ7
06/03/2025,27.98,28.05,28.05,27.58,61.73K,-0.11%,DE000A0F5UJ7
06/02/2025,28.01,27.9,28.07,27.72,100.16K,0.14%,DE000A0F5UJ7
05/30/2025,27.97,27.97,28.14,27.89,77.13K,0.18%,DE000A0F5UJ7
05/29/2025,27.92,28.08,28.22,27.89,37.23K,0.29%,DE000A0F5UJ7
05/28/2025,27.84,28.11,28.19,27.84,105.24K,-0.84%,DE000A0F5UJ7
05/27/2025,28.08,28.08,28.14,27.97,197.02K,-0.05%,DE000A0F5UJ7
05/26/2025,28.09,28.13,28.24,28.0,61.91K,1.43%,DE000A0F5UJ7
05/23/2025,27.69,28.2,28.35,26.98,248.98K,-1.62%,DE000A0F5UJ7
05/22/2025,28.15,28.14,28.22,27.81,85.04K,-0.25%,DE000A0F5UJ7
05/21/2025,28.22,28.3,28.35,28.06,87.48K,-0.14%,DE000A0F5UJ7
05/20/2025,28.26,28.07,28.31,28.06,113.50K,1.13%,DE000A0F5UJ7
05/19/2025,27.94,27.76,27.95,27.66,234.14K,0.67%,DE000A0F5UJ7
05/16/2025,27.76,27.67,27.76,27.53,183.05K,0.43%,DE000A0F5UJ7
05/15/2025,27.64,27.56,27.67,27.4,60.38K,0.31%,DE000A0F5UJ7
05/14/2025,27.56,27.44,27.56,27.2,101.42K,0.84%,DE000A0F5UJ7
05/13/2025,27.33,27.22,27.36,27.2,78.47K,0.00%,DE000A0F5UJ7
05/12/2025,27.33,27.27,27.4,27.07,172.02K,2.42%,DE000A0F5UJ7
05/09/2025,26.68,26.54,26.7,26.5,40.29K,0.81%,DE000A0F5UJ7
05/08/2025,26.47,26.17,26.47,26.11,75.34K,1.75%,DE000A0F5UJ7
05/07/2025,26.01,26.04,26.13,25.95,94.51K,-0.13%,DE000A0F5UJ7
05/06/2025,26.05,26.2,26.2,25.65,188.21K,-0.44%,DE000A0F5UJ7
05/05/2025,26.16,26.02,26.17,25.97,200.22K,1.36%,DE000A0F5UJ7
05/02/2025,25.81,25.89,25.99,25.6,148.54K,1.24%,DE000A0F5UJ7
04/30/2025,25.5,25.98,26.0,25.04,134.74K,-1.53%,DE000A0F5UJ7
04/29/2025,25.89,25.74,26.0,25.73,56.51K,1.39%,DE000A0F5UJ7
04/28/2025,25.53,25.5,25.67,25.45,91.42K,0.79%,DE000A0F5UJ7
04/25/2025,25.33,25.24,25.37,25.05,366.58K,1.26%,DE000A0F5UJ7
04/24/2025,25.02,25.09,25.09,24.88,162.41K,-0.67%,DE000A0F5UJ7
04/23/2025,25.19,24.83,25.3,24.81,647.28K,3.68%,DE000A0F5UJ7
04/22/2025,24.3,24.06,24.3,24.0,1.37M,1.12%,DE000A0F5UJ7
04/17/2025,24.02,24.2,24.25,23.89,919.09K,-0.72%,DE000A0F5UJ7
04/16/2025,24.2,23.99,24.22,23.79,244.16K,0.14%,DE000A0F5UJ7
04/15/2025,24.17,23.74,24.18,23.66,82.38K,2.92%,DE000A0F5UJ7
04/14/2025,23.48,23.2,23.58,23.17,281.29K,3.66%,DE000A0F5UJ7
04/11/2025,22.65,22.9,22.92,22.26,146.01K,0.07%,DE000A0F5UJ7
04/10/2025,22.64,23.75,23.82,22.64,915.09K,5.21%,DE000A0F5UJ7
04/09/2025,21.51,21.68,21.92,21.2,719.66K,-3.30%,DE000A0F5UJ7
04/08/2025,22.25,21.95,22.62,21.63,1.32M,2.77%,DE000A0F5UJ7
04/07/2025,21.65,20.92,22.57,20.4,598.39K,-3.35%,DE000A0F5UJ7
04/04/2025,22.4,23.77,23.77,22.02,1.88M,-8.29%,DE000A0F5UJ7
04/03/2025,24.42,25.0,25.23,24.42,1.23M,-5.88%,DE000A0F5UJ7
04/02/2025,25.95,25.98,25.98,25.64,3.31M,-0.29%,DE000A0F5UJ7
04/01/2025,26.02,25.92,26.13,25.77,115.42K,1.34%,DE000A0F5UJ7
03/31/2025,25.68,25.83,25.83,25.43,114.28K,-1.78%,DE000A0F5UJ7
03/28/2025,26.15,26.44,26.49,26.08,111.72K,-1.93%,DE000A0F5UJ7
03/27/2025,26.66,26.45,26.77,26.28,186.38K,-0.54%,DE000A0F5UJ7
03/26/2025,26.81,27.03,27.06,26.63,279.96K,-0.48%,DE000A0F5UJ7
