ISIN,0,1
IE00BKWQ0L68,Basic Materials,86.80%
IE00BKWQ0L68,Other,13.20%
DE000A0F5UK5,Basic Materials,76.38%
DE000A0F5UK5,Industrials,3.27%
DE000A0F5UK5,Other,20.36%
LU0292100806,Basic Materials,81.73%
LU0292100806,Other,18.27%
IE00BKWQ0F09,Energy,97.99%
IE00BKWQ0F09,Other,2.01%
DE000A0H08M3,Energy,80.44%
DE000A0H08M3,Industrials,15.00%
DE000A0H08M3,Utilities,2.63%
DE000A0H08M3,Other,1.93%
LU1834988278,Energy,66.44%
LU1834988278,Industrials,23.59%
LU1834988278,Utilities,7.11%
LU1834988278,Other,2.86%
DE000A0F5UJ7,Financials,95.16%
DE000A0F5UJ7,Other,4.84%
LU1829219390,Financials,99.20%
LU1829219390,Other,0.80%
IE00BKWQ0G16,Financials,94.17%
IE00BKWQ0G16,Technology,2.32%
IE00BKWQ0G16,Other,3.52%
DE000A0Q4R36,Health Care,74.35%
DE000A0Q4R36,Consumer Discretionary,4.79%
DE000A0Q4R36,Consumer Staples,2.61%
DE000A0Q4R36,Basic Materials,1.41%
DE000A0Q4R36,Other,16.84%
IE00BKWQ0H23,Health Care,76.11%
IE00BKWQ0H23,Consumer Discretionary,4.85%
IE00BKWQ0H23,Consumer Staples,2.77%
IE00BKWQ0H23,Other,16.28%
DE000A0H08F7,Industrials,63.27%
DE000A0H08F7,Basic Materials,24.16%
DE000A0H08F7,Utilities,0.88%
DE000A0H08F7,Other,11.70%
DE000A0H08Q4,Technology,77.48%
DE000A0H08Q4,Industrials,11.06%
DE000A0H08Q4,Consumer Discretionary,8.24%
DE000A0H08Q4,Telecommunication,2.21%
DE000A0H08Q4,Other,1.01%
IE00BKWQ0K51,Technology,100.00%
IE00BKWQ0N82,Telecommunication,100.00%
